ID,后缀,来源
1,"AGE, ITY, TION","后缀AGE意为""state, act, that which, collective, cost, place, position""，ITY意为""state, that which, act, quality""，TION意为""state, that which, act, result""，它们均来源于拉丁语。"
2,"ABLE, AL, ANT, ARY, IC, OUS","后缀ABLE, IBLE, ILE意为""capable of""；AL意为""nature of""；ANT, ENT, ARY, ORY意为""having the quality of""；IC, ICAL意为""nature of""；OUS意为""many, full of, like, having the quality of""。它们均来源于拉丁语，特别是AL, ANT, ENT, ARY, ORY, IC等也可作为名词后缀使用。"
3,"ATE, FY","ATE作为动词后缀使用时，意为""make""；作为形容词后缀使用时，意为""having the quality of""；作为名词后缀使用时，意为""person who, that which""。后缀FY也有""make""的意思。它们均来源于拉丁语。"
4,-ACY,"抽象名词后缀ACY意为""quality, state, act, position""。"
5,-ADE,"抽象名词后缀ADE意为""act, result, collective""。"
6,"-AN, -ANE, -IAN, -AIN","形容词后缀以及指人的名词后缀AN, ANE, IAN, AIN意为""nature of, relating to, person who""。"
7,-ANCE,"抽象名词后缀ANCE意为""state, quality, act, that which""。"
8,-CIAN,"指人的名词后缀CIAN意为""person who""。"
9,"-CLE, -CULE","处所名词后缀CLE, CULE意为""small""。"
10,-DOM,"抽象名词以及处所名词后缀DOM意为""state, quality, position, place where""。"
11,-ED,形容词后缀ED是过去分词词缀。
12,-EE,"指人的名词后缀EE意为""one who""，主要用于被动含义（成为…的人），也有主动含义（做…的人）。"
13,-EN,"动词以及形容词后缀EN意为""make, having the quality of""。"
14,"-ENCE, -ENCY","抽象名词后缀ENCE, ENCY意为""state, quality, result, degree""。"
15,-ER,"指人的名词后缀ER意为""person who""。"
16,-ERY,"抽象名词以及处所名词后缀ERY意为""state, quality, act, place where""。"
17,-FUL,"形容词后缀FUL意为""full of, having the quality of""。"
18,-ICS,"名词后缀ICS意为""study, art, science, system""。"
19,-ID,"形容词以及名词后缀ID意为""like, relating to, that which""。"
20,-INE,"形容词以及名词后缀INE意为""like, relating to, quality, that which""。"
21,-ISM,"名词后缀ISM意为""belief, speech, condition, state, act""。"
22,-IST,"指人的名词后缀IST意为""person who""。"
23,-ITE,"名词以及形容词后缀ITE意为""mineral, fossil, quality, relating to""。"
24,-IVE,"形容词及名词后缀IVE意为""relating to, having the quality of, tending to, that which""。"
25,-IZE,"动词后缀IZE意为""make""。"
26,-LE,"动词、形容词、名词后缀LE意为""repetition, pertaining to, that which""。"
27,-LESS,"形容词后缀LESS意为""without""。"
28,-LING,"名词后缀LING意为""little""。"
29,-LY,"形容词后缀LY意为""having the quality of""。"
30,-MENT,"抽象名词后缀MENT意为""state, quality, act, that which""。"
31,-NESS,"抽象名词后缀NESS意为""state, quality""。"
32,-OID,"形容词及名词后缀OID意为""resembling, that which, person who""。"
33,-OLOGY,"后缀OLOGY意为""science, study""。此外，LOG意为""speech""。"
34,-OR,"抽象名词以及指人的名词后缀OR意为""one who, that which""。"
35,"-OSIS, -ESIS","抽象名词后缀OSIS, ESIS意为""state, quality, act""。"
36,-SHIP,"名词后缀SHIP意为""quality, condition, state, office, skill""。"
37,-TUDE,"抽象名词后缀TUDE意为""state, quality, act""。"
38,-URE,"名词以及动词后缀URE意为""state, quality, act, result, that which""。"
39,-Y,"形容词后缀Y意为""having the quality of, something done""。"
40,-SOME,"形容词后缀SOME意为""having the quality of""。"
